stress_max,time at stress_max,time at 5% of stress_max,x,y,z
2.9074,60,144.96,-18.19,-2.4079,101.12
3.281,60,143.56,-18.122,-5.9824,101.79
3.2331,60,143.12,-18.178,-5.2824,101.08
2.276,60,147.52,-18.154,3.168,101.1
1.8869,65,148.46,-18.188,5.9512,101.06
2.6042,60,145.21,-18.176,0.32778,101.05
2.8956,60,143.22,-4.2725,-2.8,117.96
1.9497,65,147.32,-14.066,4.9,111.96
1.9469,65,148.66,-1.4879,4.9,118.41
2.3174,60,146.71,-1.4879,2.1,118.41
2.6363,60,144.89,-1.4879,-0.7,118.41
2.2117,60,145.61,-2.1918,3.5,118.35
1.9467,65,147.22,-3.5858,4.9,118.13
1.8912,65,147.54,-5.0354,5.6,117.78
2.2213,60,146.43,-4.2725,3.5,117.96
2.634,60,145.31,-3.5858,-0.7,118.13
2.217,60,146.73,-7.7549,3.5,116.77
2.2726,60,145.4,-7.1026,2.8,117.04
2.5831,60,146.46,-7.7549,0,116.77
2.6353,60,144.68,-7.1026,-0.7,117.04
2.9393,60,142.35,-3.5858,-3.5,118.13
1.8901,65,147.59,-10.284,5.6,115.35
2.2665,60,145.32,-9.0125,2.8,116.13
2.628,60,145.78,-9.0125,-0.7,116.13
2.5841,60,145.06,-9.6146,0,115.76
3.2057,60,140.65,-10.284,-5.6,115.35
2.218,60,146.87,-9.6146,3.5,115.76
3.2575,60,141.45,-9.6815,-6.3,115.72
2.2613,60,146.93,-17.345,2.8,106.38
2.27,60,144.99,-12.022,2.8,114.02
1.8903,65,147.32,-17.345,5.6,106.38
2.5827,60,144.68,-17.345,0,106.38
2.6338,60,144.74,-17.075,-0.7,107.03
1.889,65,146.91,-18.129,5.6,103.59
2.2614,60,146.79,-18.129,2.8,103.59
2.3184,60,146.19,-17.964,2.1,104.27
2.6364,60,144.79,-17.964,-0.7,104.27
2.583,60,146.86,-18.129,0,103.59
2.8892,60,144.22,-18.129,-2.8,103.59
3.2596,60,141.18,-17.075,-6.3,107.03
3.2564,60,141.11,-12.022,-6.3,114.02
3.2056,60,140.45,-14.525,-5.6,111.43
2.8854,60,143.26,-12.559,-2.8,113.56
3.2053,60,140.48,-12.559,-5.6,113.56
3.2588,60,141.33,-7.1026,-6.3,117.04
2.8916,60,142.36,-2.1918,-2.8,118.35
3.2093,60,140.92,-2.1918,-5.6,118.35
3.2607,60,141.48,-1.4879,-6.3,118.41
3.2736,60,141.6,-3.9395,-5.9134,117.79
3.2072,60,140.32,-7.7549,-5.6,116.77
2.8854,60,143.45,-7.7549,-2.8,116.77
2.887,60,143.49,-16.134,-2.8,109.01
2.945,60,145.8,-1.4879,-3.5,118.41
2.9426,60,143.94,-7.1026,-3.5,117.04
2.9402,60,143.97,-15.765,-3.5,109.61
2.6333,60,144.6,-15.765,-0.7,109.61
2.9443,60,144.61,-17.964,-3.5,104.27
2.8859,60,143.3,-14.525,-2.8,111.43
3.2241,60,141.81,-4.6262,-5.2134,117.62
2.5888,60,144.82,-4.2725,0,117.96
2.5832,60,146.46,-2.1918,0,118.35
2.9423,60,144.1,-17.075,-3.5,107.03
2.9002,60,143.56,-9.9601,-2.4639,115.29
2.9404,60,144.02,-14.066,-3.5,111.96
2.6486,60,144.71,-18.121,-0.37222,101.76
2.9527,60,143.08,-9.3581,-3.1639,115.65
3.2568,60,141.42,-15.765,-6.3,109.61
2.9532,60,144.16,-18.134,-3.1079,101.83
3.2069,60,140.57,-16.134,-5.6,109.01
2.2134,60,147.51,-12.559,3.5,113.56
3.2085,60,140.52,-17.345,-5.6,106.38
2.6327,60,144.36,-12.022,-0.7,114.02
1.8878,65,148.06,-14.525,5.6,111.43
2.5808,60,144.98,-16.134,0,109.01
2.2648,60,146.57,-15.605,3.1807,109.45
2.2659,60,146.4,-14.407,3.1807,111.19
1.8906,65,147.28,-16.134,5.6,109.01
1.8905,65,148.3,-2.1918,5.6,118.35
2.2689,60,144.08,-3.5858,2.8,118.13
1.9451,65,147.5,-9.0125,4.9,116.13
1.9486,65,146.84,-7.1026,4.9,117.04
2.6326,60,144.59,-14.066,-0.7,111.96
1.8896,65,147.89,-7.7549,5.6,116.77
1.8874,65,146.73,-12.559,5.6,113.56
1.948,65,146.68,-12.022,4.9,114.02
2.3188,60,146.43,-13.948,2.4807,111.73
2.5802,60,144.86,-12.559,0,113.56
1.9524,65,147.33,-17.964,4.9,104.27
1.9509,65,147.18,-17.075,4.9,107.03
2.5798,60,144.92,-14.525,0,111.43
1.9461,60,147.82,-18.133,5.2512,101.76
2.3249,60,146.41,-18.098,2.468,101.81
1.9453,65,147.24,-15.355,4.9,110.28
3.2093,60,140.84,-18.129,-5.6,103.59
3.2569,60,141.13,-14.066,-6.3,111.96
2.3105,60,146.62,-15.236,2.4807,110.05
2.9397,60,143.98,-12.022,-3.5,114.02
2.3163,60,146.11,-17.075,2.1,107.03
3.2601,60,141,-17.964,-6.3,104.27
2.8888,60,143.32,-17.345,-2.8,106.38
